measure_name,datum,state_id,state_name
"No. of abortions, by state of residence",8110,OR,Oregon
"No. of abortions, by state of residence",34950,PA,Pennsylvania
"No. of abortions, by state of residence",2830,RI,Rhode Island
"No. of abortions, by state of residence",11830,SC,South Carolina
"No. of abortions, by state of residence",680,SD,South Dakota
"No. of abortions, by state of residence",10450,TN,Tennessee
"No. of abortions, by state of residence",61500,TX,Texas
"No. of abortions, by state of residence",3220,UT,Utah
"No. of abortions, by state of residence",1100,VT,Vermont
"No. of abortions, by state of residence",23390,VA,Virginia
"No. of abortions, by state of residence",17910,WA,Washington
"No. of abortions, by state of residence",1780,WV,West Virginia
"No. of abortions, by state of residence",8290,WI,Wisconsin
"No. of abortions, by state of residence",700,WY,Wyoming
